Team,Tm,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
Chicago Bulls,CHI,50,16,.758,8.18,108.22,98.89,9.33,7.43,108.21,99.72,8.49
San Antonio Spurs,SAS,50,16,.758,7.17,111.45,103.83,7.62,7.28,111.35,103.60,7.75
Oklahoma City Thunder,OKC,47,19,.712,6.12,110.33,103.77,6.56,6.44,110.30,103.37,6.93
Miami Heat,MIA,46,20,.697,5.98,107.66,101.10,6.56,5.72,107.97,101.71,6.26
Philadelphia 76ers,PHI<35,31,.530,4.24,104.70,100.00,4.70,3.59,104.42,100.45,3.97
Denver Nuggets,DEN,38,28,.576,2.88,109.95,106.97,2.99,3.16,109.94,106.63,3.31
Los Angeles Clippers,LAC,40,26,.606,2.56,109.49,106.69,2.80,2.82,109.26,106.18,3.09
Indiana Pacers,IND,42,24,.636,3.30,107.63,103.94,3.69,2.59,107.68,104.77,2.91
Atlanta Hawks,ATL,40,26,.606,3.44,105.74,102.04,3.70,2.67,105.57,102.72,2.85
New York Knicks,NYK,36,30,.545,3.20,105.51,101.86,3.64,2.39,105.45,102.70,2.75
Memphis Grizzlies,MEM,41,25,.621,2.02,104.81,102.57,2.24,2.43,104.59,101.89,2.70
Boston Celtics,BOS,39,27,.591,2.52,102.12,99.34,2.78,2.26,102.19,99.69,2.50
Los Angeles Lakers,LAL,41,25,.621,1.42,106.62,105.07,1.55,1.96,106.60,104.45,2.15
Dallas Mavericks,DAL,36,30,.545,0.95,104.08,103.01,1.07,1.78,104.04,102.07,1.97
Utah Jazz,UTA,36,30,.545,0.62,107.51,106.91,0.60,0.92,107.34,106.40,0.94
Houston Rockets,HOU,34,32,.515,0.23,106.42,106.11,0.31,0.57,106.27,105.58,0.69
Phoenix Suns,PHO,33,33,.500,-0.24,106.96,107.10,-0.13,0.29,106.96,106.52,0.45
Orlando Magic,ORL,37,29,.561,0.79,105.65,104.87,0.78,0.46,105.77,105.36,0.41
Milwaukee Bucks,MIL,31,35,.470,0.27,106.07,105.73,0.34,-0.23,106.13,106.34,-0.21
Portland Trail Blazers,POR,28,38,.424,-0.62,106.56,107.24,-0.69,-0.21,106.40,106.64,-0.24
Minnesota Timberwolves,MIN,26,40,.394,-2.20,104.85,107.00,-2.15,-1.83,104.65,106.40,-1.75
Golden State Warriors,GSW,23,43,.348,-3.41,105.97,109.66,-3.69,-2.79,106.00,109.01,-3.01
New Orleans Hornets,NOH,21,45,.318,-3.76,101.82,105.98,-4.16,-3.11,101.68,105.11,-3.44
Toronto Raptors,TOR,23,43,.348,-3.30,101.57,105.32,-3.74,-3.67,101.68,105.83,-4.14
Sacramento Kings,SAC,22,44,.333,-5.68,104.46,110.43,-5.98,-4.95,104.59,109.76,-5.17
Washington Wizards,WAS,20,46,.303,-4.80,101.75,107.03,-5.28,-5.14,101.95,107.61,-5.66
Detroit Pistons,DET,25,41,.379,-4.79,102.13,107.48,-5.35,-5.18,102.33,108.11,-5.78
New Jersey Nets,NJN,22,44,.333,-5.98,103.77,110.52,-6.75,-6.37,103.99,111.17,-7.18
Cleveland Cavaliers,CLE,21,45,.318,-7.20,101.86,109.78,-7.92,-7.34,102.06,110.14,-8.08
Charlotte Bobcats,CHA,7,59,.106,-13.91,95.85,111.26,-15.41,-13.96,96.12,111.59,-15.46


